comment_id,comment_body,submission_id
h3vyrzd,"I just feel so mad that this amazing festival was left to languish in relative obscurity until now, despite the massive talent surrounding it.  How?  Why?",ocet2k
h3vy008,"That moon landing & Staple Singers performance segment is a masterclass of editing. 
This whole film was terrific.",ocet2k
h3xslcc,"The gobsmacking solo rendition of “My Girl” by Temptations singer David Ruffin is alone worth the watch. Wow. But there are so many absolutely incredible performances captured beautifully on film. The documentary context of the event is also well done, but there were several times when I was watching some mind-blowing performance and then they cut to an interview and I was like noooooooo!! So hopefully someday they release “Summer of Soul: The Full Performances,” which I would buy in a heartbeat.",ocet2k
h3utqqq,"So damn good. I knew all these artists going in but I’d never heard these versions. Gladys Knight & The Pips, Sly & The Family Stone, and Nina Simone at the end were all flat out spectacular.",ocet2k
h3w1t5e,"Fantastic doc. I really loved Quest’s exchange with Darryl (I believe that’s who it was) at the end. I can only imagine how it must have felt knowing that this really did happen, and it wasn’t just a moment stored in someone’s collective memory bank, but also so far removed that it felt like it didn’t really happen. Hope it makes the Documentary list for the Oscars next year",ocet2k
h45043m,"The Mavis Staples - Mahalia Jackson footage is the most transfixed I’ve been to the screen this past year. That’s the best scene of any movie I’ve watched in awhile. 

The direction by Questlove is revelatory. Brilliant all around.",ocet2k
h42cvpe,"It was really good but I wish they had more info on the original cinematographer who held onto the footage for 50 years and included some info about how this film came to be. 

I really appreciated they cultural context stuff - the moon landing stuff was really interesting and gave me a perspective on history I wasn’t taught in school. 

I really hope they can get the licenses together and put a compilation record out. It would be incredible.

The editing was great too.",ocet2k
h3vping,"I just finished watching it and it is making me so hype. It’s not just about the music, and as a music teacher that is a total NERD for music history, this is incredible. But hot damn, the music (which I grew up with), is insanely phenomenal.",ocet2k
h3zng17,I would buy the box set of this whole festival.,ocet2k
h3u1cde,One of the best music docs I’ve seen in a while. Excellent footage.,ocet2k
h3vs1rp,"Really loved this. I actually live across the street from Mt. Morris Park, and it was really incredible to think all of this took place right outside my window fifty years ago. I think my personal highlights were Mahalia Jackson letting the spirit of four hundred years pour right out of her, and then the end with Nina Simone being so amazing and powerful in the way that only she can. Well done, Questlove.",ocet2k
h4bq7ay,"If this were just a collection of performance footage, it would be four stars. The interviews and the culture/historical context push it to the top level. It was such a great decision to include so many interviews with regular festival-goers. 

Also, Stevie Wonder is a goddamn performer. Wow.",ocet2k
h3zt992,"I went into this looking forward to the music, and the music was spectacular. But about 30 minutes into it I was more interested in what Questlove was trying to say with the film. There are some insanely powerful moments in this movie.

Also, watch to the very end of the credits. There's a little clip at the end that's hilarious and worth waiting for.",ocet2k
h3twfi6,"I saw this as part of Sundance's online festival this year.  It's really good, the archival film is great, some terrific performances, and great stories.",ocet2k
h43fk8h,Let’s not forget the Latino and African performers too. It was a great melding of so many genres. I hope we will see a release of full performances from all the bands/singers.,ocet2k
h3twlcm,"The extended title of this film includes: **(or... When the Revolution Could Not be Televised)** 

and I feel like that's quintessential to the name of and discussion of the doc.",ocet2k
h4w74qi,Anyone know what that was all about with stevie at the end of the credits?,ocet2k
h6lwslj,"This was amazing and beautiful. Can’t believe I didn’t know this happened or existed. Stellar performances, fantastic fashion, the colors and variety of artists. I’ll be honest, I teared up a few times. Wonderful.",ocet2k
h6swhff,This was the uplifting watch I needed after that heavy Woodstock doc. Seeing Stevie go all out was amazing.,ocet2k
h3u2c29,"It’s REALLY good. I was worried it would be more concert film than documentary, but it’s the PERFECT blend of both. Go watch this.",ocet2k
h3ze6dw,"Thank goodness for Questlove. His music history drive is truly amazing. 

Misty eyed from the second Little Stevie Wonder threw down on the drum set.",ocet2k
h49znd8,Yeah i need a box set of this. Want to see the performances without commentary (even though its great) they did sonny sharrock dirty by only showing a tiny bit of his performance with all that other music/commentary on top of it. FREE JAZZ FOREVER,ocet2k
h3u1qjo,"Totally going to watch this now, thanks for the heads up.",ocet2k
h3zodpn,"What a great film,  awesome music, and spectacular fashion and dances.

Amazing look at the era, and so much fun to see the artists watch themselves and get so emotional",ocet2k
h48a3py,"I guess I'm disappointed becuse it wasn't what i was expecting  i went in  expecting a modern-day Wattstax,  Not a  traditional documentary documentary reflecting on the  politics and music  and of the era and it's meaning to the black community which is fine. I'll  give  2nd chance now that i know that.

Still I feel quest love should have let the footage speak for it's self more.",ocet2k
h41zvyy,Anyone know if there is an album of the music?,ocet2k
h4dh1eu,Questlove did an amazing job. Loved this doc and it never lost steam. I also saw the Sparks Brothers doc which was pretty good but definitely loses steam for the last hour. I hope they eventually release all the footage available from the Harlem Cultural Festival. These performances are stunning and deserve to be seen in full.,ocet2k
hxql1kv,"Finally saw it, expected more of a concert film than a documentary but it was very very good. Added a lot of context to why the music was important. 

Nina Simone’s poem rendition is gonna piss off a lot of people though. 

A-",ocet2k
h3twb2m,"Loved this. So many great performances that have their own historical/political significance to the time, often reflecting a lot of the issues that this country is still dealing with. The audio is fantastic, and I thoroughly enjoyed the Gospel section, even though I've never been a huge fan of the genre (until recently).",ocet2k
