text,label
"The meaning of Sheriff Bell's dream was that he was ashamed of himself because his fear of death prevented him from doing his duty. In other words: Ed knew the criminal was in the motel room, but his fear of death prevented him from doing his job, which, in this case, was to die honorably in the line of duty.He interprets this moral failure as a desecration of the legacy of his father.This is contrast with the moral failure of Anton: Anton killed the woman who refused to play his coin game, which forced him to assume the moral responsibility for murdering her. This incident is immediately followed with Anton's car accident, which represents him being punished by God and forced to rely on the charity of others for survival. This is why Anton demands the kid take the money in exchange for the shirt - because he recognizes that he's being punished (i.e. he recognizes the charitable symbol and that he doesn't deserve charity) which is an indirect admission of guilt.",1
"I expect a film like 'No Country for Old Men' to be polarizing for some, especially if they're expecting a big finale with the good guy and the bad guy drawing their guns in the end to settle the score. 'No Country for Old Men' is a film that dabbles more in existentialism, despite all the crime that occurs. Basically, what I'm saying is that the film adapted from the novel is very unconventional not only for its genre, but also in its approach to storytelling. What the Coen brothers do best is combining altogether different elements and creating something with its own unique character. While there are subtle throwbacks to the old wild west, the story takes place in modern society where technology has advanced, society has advanced and unfortunately crime has too.What are Anton Chigurh's true motives? Does he have a philosophical doctrine that we the audience are unaware of or are just unable to comprehend? What Anton does is create a lot of questions that arise from his actions and his interactions with the other characters. To watch a character as odd as him is fascinating and I cannot give enough credit to Javier Bardem in portraying such a character that is so enigmatic and just his presence alone is able to evoke so much mystery. Even though Anton is very incomprehensive, it is all made up for by being able to be somehow captivated by him.How every character deals with Anton is interesting, to say the least and as the film progresses, the feeling of despondency increases gradually. The lack of heroes is what gives this film its sense of hopelessness and that feeling of hopelessness is basically set in stone from the first few shots coupled with Tommy Lee Jone's epic voice-over narration in introducing the story. It is the perfect introduction to what we will witness in the story and what it all means for a sheriff like him in comprehending these events. As the events occur, we the audience reflect on these situations just as much as Sheriff Ed Tom Bell. Tommy Lee Jones' performance in this role is impressive and is injected with a great sense of humanity. I commend his portrayal as Bell, in that he is the character who carries the weight of the story.The acting is a huge fragment in bringing this film to life, but what also does that is how the visuals are executed and it is definitely utilized to a great effect. From its majestic shots to its beautiful lighting and color tones, the Coen brothers set a mood that permeates the whole film. Its barren settings really add a feeling of desolation that is at the same time hypnotic and surreal. While the film can be suspenseful and its suspense is definitely executed perfectly, the film still somehow manages to maintain an air of mystique. The non-existence of a soundtrack really gives the film a feeling of loneliness, all the while adding an even greater sense of sterility to its already barren wasteland.I can go on and on about the great acting, its memorable shots and its great script, but what makes 'No Country' a great film is that it manages to be truly idiosyncratic in its execution just like how the Coen Brothers' other great films are. Even if a film like this leaves me more questions than answers, if it still manages to captivate me to a point that I'm willing to return to it, then that shows that it doesn't matter if I don't have any answers to my questions. There are only a few films that are able to pull this off naturally and 'No Country for Old Men' is definitely one of those special films that can do just that.",1
"While on a hunting trip, a sportsman (Josh Brolin) finds dead men and a stash of cash in the remote back country of West Texas, the result of a drug deal gone wrong. The greedy hunter takes the cash, but soon discovers that the resourceful criminal responsible for the drug deal, an outlaw named Anton Chigurh (Javier Bardem), has a way of tracking the loot. The hunter thus finds that he is the hunted. Meanwhile, an aging Texas sheriff named Ed Tom Bell (Tommy Lee Jones) is after both the sportsman and Chigurh. The story is set in the early 1980s.To some extent, this film is a character study of Sheriff Bell, an honest lawman who is wise, observant, grounded in reality, and has a long memory. ""No Country For Old Men"" is really his story. He doesn't know quite what to make of the drug war that has crossed over from Mexico into Texas; it's something new (for the 1980s); and it makes a land that has always been hostile to settlers even more hostile and dangerous.The film's premise is quite simple, and the story is straightforward with minimal twists. A lot of time and care are taken with procedural actions: loading a gun, dressing a bloody wound, constructing a pole to retrieve a package from an air vent, for example. Dialogue is minimal; there's lots of silence.Overall casting and acting are impressive. I especially liked the performance of Tommy Lee Jones who seemed a natural choice for the role of Sheriff. Javier Bardem and Josh Brolin are also well cast. Several minor roles are extremely well performed, like the store owner who is asked to call a coin toss, and the rotund lady who, with a dour face, defies Chigurh's requests in a characteristic Texas twang.The film's color cinematography is quite good; there are lots of sweeping, wide-angle outdoor shots. I really enjoyed the geographic setting, with that whistling West Texas wind, the silence, and the stunning vistas. It's a landscape that is starkly beautiful. Yet, despite its beauty and wilderness traits, it can quickly turn hostile and unforgiving for anyone unprepared for its hidden risks.""No Country For Old Men"" is a fine film. I'd describe it as a chase story -- character study combo, with elements of noir, especially in the visuals. Violence may be a tad much for some viewers. But given the subject matter, it is entirely appropriate.",1
"Opinions do look to be sharply divided on this typically interesting effort for the Coen brothers. Some hail it a masterpiece, others don't see the appeal at all. While this viewer doesn't quite fit into the former camp, he will say that it's one of the more unconventional examples of crime fiction that one is likely to see. It's much more of a character piece than anything, with some grisly scenes of violence here and there. Based on the novel by Cormac McCarthy, it centres around three characters, one being a poor hunter named Llewelyn Moss (Josh Brolin), who one day stumbles into the aftermath of some drug deal gone horribly wrong. He finds $2 million on the scene and impulsively decides to keep the money for himself, while a mysterious, creepy, sadistic stranger named Anton Chigurh (Javier Bardem) tracks him down, porting a unique pressurized air weapon. Somewhat involved is a weary Texas sheriff, Ed Tom Bell (Tommy Lee Jones), who's unsettled by what he sees as the changing times. Now, granted, what's going to test the patience of some of the viewers are some of the monologues; this isn't for people who want a straightforward story and who are turned off by philosophical musings. One can hardly fail to notice how low key most of this narrative is; even in the more intense scenes there's never really a sense of urgency. On the plus side, what we do get are some excellent character moments from the solid star trio of Brolin, Bardem, and Jones. The supporting cast is equally impressive - Woody Harrelson, Kelly Macdonald, Garret Dillahunt, Tess Harper, Barry Corbin, Stephen Root, and Beth Grant. The Coens work with some of their reliable prior collaborators such as composer Carter Burwell and cinematographer Roger Deakins. All things considered, ""No Country for Old Men"" may not be to all tastes, and does require some patience on the part of the viewer. It also doesn't resolve itself in the way one might expect for this genre, and might prove to be less than satisfactory in this regard for some of those watching. There's one fantastic confrontation near the end, but the film closes, curiously enough, after a monologue by Bell about a dream he's had. How much or how little all of this works will be up to the individual viewer. In any event, the actors are all fantastic, especially Bardem, and they make the journey worthwhile. Eight out of 10.",1
"No Country for Old Men is as exceptional a mix of two creative talents- the Coen brothers, Joel and Ethan Coen, and author Cormac McCarthy (recent winner of the Pulitzer for The Road, his own masterpiece) as one could imagine, as they converge on a story that in lessor hands would be just a B movie. The story concerns an average Joe out hunting one day in Texas who comes across a bunch of dead bodies, heroin, and a satchel with 2 million in cash. He takes it, but without knowing that a true embodiment of a psychopath (Javier Bardem) is on his trail, and as he evades him it becomes more and more clear the fatalism that lies in store, as a weathered sheriff (Tommy Lee Jones) is also on the trail with perpetulally sad eyes looking on from his stolid demeanor. More than this, it's also about as good a morality play as one could ask for, because it plays and tools and makes very serious questions about what is moral, or what isn't, or what is so ambiguous that it's all up to the toss of a coin or a chance ride out of town. There are a few interpretations to Bardem's character Anton that could be taken, but one thing is certain- he's less a symbol than a real presence, a ""ghost"" as Jones's sheriff calls him that can come around at the drop of a pin, usually in the dark, and strike the utmost fear (or confusion if you're a clerk) in the hearts of men and women. You'll never look at a coin toss the same way again. Or an air-gun. Or fixing a bullet wound in a leg. Or a hunt at a motel. Or even the aftermath of a car crash.But at the same time it's the purest time of cinema, recalling Hitchcock and Leone and Welles's Touch of Evil and the best of noir and westerns. There are so many exceptional shots and lighting, so much depth to the perception of the characters through the mis-en-scene, so much tension, that through this it's all up to the actors to make or break the near-perfection that is the McCarthy source. Bardem embodies Anton like no other could- you can't look at his eyes, often steel-cold and horrifically professional (to what professional who can say), which occasional tear- and it's obviously worthy of an Oscar. And Josh Brolin and Tommy Lee Jones are also fantastic; we see Brolin often in the midst of an action scene, a moment of 'save-your-life' going on, and one can finally see an actor of his caliber completely breaking out in a role that doesn't require him to ever totally ""emote"". Jones, on the other hand, gives a compassionate turn in a film that's about the struggles of desperate men in a land without law and order. He's gone through so much that it comes out completely in his voice and eyes, sorrowful but holding back, and he reaches a level of connection with the character that makes the Fugitive look like simpleton TV. Kelly McDonald, who plays Lleland's wife, is also excellent when called upon, especially in a crucial scene later in the film.It's gut-wrenching, bleak, violent, super-tense (I clenched many a knuckle during some scenes), surprisingly funny in a darkly comic manner not seen by the Coens in many years, and artistically fashioned to a beat that is meditative (watch the opening moments with Jones's voice-over), simple, and doomed. It's beautiful and terribly tragic, for McCarthy fans it finally strikes at what is truest to his material- even if you haven't read the book itself the Road will give an indication of the mood and atmosphere at hand- and at the moment I can't think of any other film that would be the best pick of the year- maybe one of the best films I've ever seen.",1
"If this doesn't end my year in the top two films of the year then we are in for one hell of an awesome year of movies.The new film from two of the best filmmakers working today No Country For Old Men shows the talents of the Coen Brothers on top form. After a couple of disappointments (Intolerable Cruelty had flashes of Coen genius but felt more of a Coen imitation than the real thing; Ladykillers had the odd funny moment but was the blandest film the brothers ever made, and there's just no excusing Marlon Wayans!) they knock this violent western drama out of the park.More in the vein of their superb early mostly-serious efforts Blood Simple and Miller's Crossing (my personal favourite of the Coen back catalogue) No Country For Old Men is a slow-moving, character-driven masterpiece about uncompromising and uncompromised characters. It is very violent and bloody and not always for the squeamish.Shot through with moments of humour these come, as in life, from real situations and observations so don't be fooled into thinking this will be the serious film with goofy-characters Coens of Fargo. No Country For Old Men is a tough, gritty story.The unrelenting pace may take its time but you are gripped every moment. This is a thriller that genuinely thrills.Javier Bardem gives the best performance of his career. And, yes, I have seen The Sea Inside and he in superb in that but here he is simply extraordinary. It is a portrayal of unrelenting evil, of true derangement, of a human being with no shreds of humanity that ranks at the very top of studied film psychopaths. And I say film not movie because this is not a clichéd character. This is not a character whose lunacy you enjoy over popcorn. This is one of the most frightening performances ever committed to celluloid. I felt truly nervous of what was going to happen every time he walked on screen.Josh Brolin essentially carries the bulk of the movie and he is excellent in a role that challenges him. I have never seen him perform to this level and if Bardem didn't steal the film you'd be talking about Brolin all the way home. As it is this gives him a showcase for his talents that should see him get a lot more attention.Tommy Lee Jones is used sparingly but to great effect. Sounding more like Michael Parks than ever before his scenes pepper the movie with a wearied view on a world he doesn't really like or understand to great effect.I did find Stephen Root a little distracting as i have never seen him in a serious role before and he just looks amusing but he is in very little.Roger Deakins' cinematography is breathtaking as usual and the Coens' script is superbly crafted. There are moments, almost asides from the main plot, that would be superfluous in most scripts and excised in most studio films but which work perfectly in the overall context of the movie as only the Coens can achieve. One scene featuring Bardem in a gas station is up there with the best scenes i have ever seen on film.I have not gone into the plot here because I saw this film having not read Cormac McCarthy novel and knowing little other than the basic log-line - a man out hunting comes upon a scene of dead bodies, guns, drugs and money on the Mexican border and comes to the attention of both those behind the scene and a local world-wearied sheriff - and i think that's the way to see this film.Go in knowing as little as you can but knowing at least this: this is a serious, violent, slow-paced character piece from the Coens. This is not a Fargo. If you are squeamish don't see it. If you have a short-attention span don't see it. If you only love the Coens for their fantastic comedies like O Brother and Big Lebowski and the comedy/thriller Fargo don't see it. But if you want to see an intelligent, superbly acted, powerful, beautiful cinematic treat that will remind you of the true power of cinema see it, see it, see it. It's a masterpiece. Bravo Ethan and Joel.",1
"Days after seeing it, I am still haunted by No Country for Old Men. There is just something so effectual and uncompromising about it, that mere words will only begin to skim the surface of the cinematic excellence on display.At its most simplistic, the film is a game of cat and mouse. The mouse here is Llewelyn Moss (Josh Brolin), a hunter who stumbles upon two million in cash after a drug deal gone wrong, and takes it thinking nothing of it. He tries to cover his tracks, but ends up letting the group looking for the money, figure out his identity. The cat is Anton Chigurh (Javier Bardem), a hit-man hired to find Moss and the money. But Chigurh is unconventional at best; he also happens to be bordering on mentally insane. And another man, a law man this time, Sheriff Bell (Tommy Lee Jones), is on the trail of both men as they criss-cross around Texas.Right up until its dénouement, the film is simply brilliant. Taut and thrilling, it blows right through the majority of its two hour runtime with ease. Even during moments of slowing down, the film stays right on track and never feels like it has run its course. It engages even when it appears that nothing is happening. The Coen Brothers truly crafted what appears at first glance to be a masterpiece, even if it is their first real shot at something that is not indelibly and inarguably their own. Even without reading Cormac McCarthy's novel, I know that the Coens have done it justice, even with their bitterly twisted and dark sense of humour scattered throughout the film.But all of that comes to a standstill as the film concludes. The last twenty or so minutes feel like hours as the film wraps itself up, and it almost feels like these scenes belong to another movie entirely (one that borders on being pretentious and monotonous). I realize now that McCarthy's novel probably ends the same way, but it does not help provide closure to the fact that the movie is so break-neck paced right up until this happens. Its brilliance is shattered by what looks to be a series of tattered events thrown together to provide closure for all of the characters, alive or dead, and for its audience. It speaks volumes to the film's title, but it just does not feel satisfying compared to the rest of what we saw. Even with its enigmatic devices at play, I still cannot come to terms with how the film closes. It does haunt, and in a way, it may prove to be a significantly stronger ending as time rolls on. But as it stands now, it just feels weak.What is also a bit of a surprise, and only seems to appear as the film concludes, is the music. It is not so obvious at first, but the majority of the film is audibly shown with just the sounds the characters make and no background music to speak of. This element is brilliantly used, as it helps intensify every situation and makes the film downright terrifying in some cases. It just helps truly make the film come together, and only helps establish the quick pacing even more so. It was definitely a surprise, and one that will probably help the lasting impact of the film become even stronger.The lush and bloodsoaked visuals also help to define the film. Despite the film taking place mainly in deserted areas, or the desert itself, the camera manages to capture just the right essence of what the writing and acting is conveying. The isolation and the terror almost become characters themselves through these visuals, and are sure to be recognized as the award season rolls in.The film's acting is also very well done. Brolin anchors the film and even when it is just the audience reacting to his attempts at saving his life, he manages to deliver the best performance of his career. He breathes life into Moss, and truly brings a sense of pathos to the character. We feel for him and his greedy mistake, and as he develops into a man unwilling to go down without a fight, he only manages to up the ante for himself countlessly. Jones, as the law man stuck on the fringe of every event, also does very well for himself. Most of his work is simply delivering dialogue, but it is delivered in such a fashionable sense that you feel like he is speaking to the bigger picture of things, and not just himself. I would have liked a bit more development in his character, but what little there is helps his performance greatly.Supporting turns from Woody Harrelson and Kelly Macdonald are also done well, but are overshadowed by the main cast by both Brolin and Jones.And even more of an overcast is Bardem as the ruthless Chigurh. He absolutely nails this character down to his very bones. If anyone is merely toying with the idea of seeing the film, it should be specifically for Bardem. His performance is calculating and plagued with petrifying silence. When he chooses to talk, his words sound like they are being given by the essence of evil. This is a man with a plan, but it is one that only belongs to him. His enigmatic presence is developed throughout the film, and never once does it feel particularly appropriate to understand where this menace comes from. Watching him on screen is a jolt to the heart, and will go down as one of the best performances of the decade. His terrible hair only helps to make his character that more scary and formidable.No Country for Old Men is one of the best pictures of the year, even if it is flawed. Its brilliance and lasting impact with leave you haunted.8.5/10.",1
"Joel and Ethan Coen know how to tell a story -- sometimes its meaning is obscure, sometimes it's in your face, but it's always fascinating.In the obscure category is ""No Country for Old Men,"" from 2007, starring Tommy Lee Jones, Javier Bardem, Josh Brolin, Woody Harrelson, and Barry Corbin.What I'm going to write next will mystify many. In a funny way, this film reminded me of Psycho. Here's why - in Psycho, we're led to believe that it's a story about a woman who steals money from her employer. Then she stops at the Bates Motel, and the story changes.Same deal here. This starts off as a story of a man who steals money he finds at a drug deal gone wrong, and we believe we're watching him trying to escape the man chasing him. Turns out the movie isn't really about that.In Texas in 1980, Llewelyn Moss (Josh Brolin) discovers the scene of a drug deal gone terribly wrong - the ground is peppered with dead bodies. Also laying around unattended is 2 million dollars, which Moss takes.As a result, a man named Anton Chigurh (Javier Bardem) is after him. Chigurh kills just about anybody who crosses his path. Moss is on the run, and Chigurh is close behind every step of the way.The sheriff, Tom Bell (Tommy Lee Jones), has become discouraged by the evil in the world and his helplessness in the face of it. Nevertheless, he tries to beat Chigurh to Moss, all the while realizing the job has just about burned him out. It is, in fact, no country for old men.The film is symbolic of evil in human form (Chigurh) coming up against a decent man (Moss) and how it brings about his ruin. Moss' ego and arrogance make him think he can overcome Chigurh's pure evil. His innate goodness compels him to return with water for the one dying drug dealer at the scene, putting Chigurh on his trail when he finds his truck. Temptation, as in the Garden of Eden, can lead to ruin.All the men involved in the story -- Chigurh, Moss, Bell, and an old man whom Bell visits, Ellis - are all fatalists. Moral weakness allows the gods to wreak havoc. Llewellyn brings his fate on himself, and the fate can't be stopped. And so much that happens seems to happen by chance, as the result of a coin toss -- for someone like Bell, looking for meaning, there is no meaning to be found.The Coen Brothers take the western genre and turn it on its boots - we don't witness some of the deaths, and we don't witness the classic good versus evil fight. With Sheriff Bell's retirement, it seems that we are to conclude that evil wins. But the Coen Brothers leave us with hope, as long as we don't depend on mankind for it. Like Bell's dream about his father going ahead and starting a fire for him, the hope is outside of ourselves and our world. As we've seen in court cases, there is no getting of justice in this world. At the end of his dream, Bell says, ""I woke up,"" as we all must.A remarkable film by remarkable filmmakers, demanding multiple viewings.",1
"No Country for Old Men is for the kind of film fan who remarks, ""Gee, wasn't that murder a clever mise-en-scene?"" and who asks, ""What kind of lens do you think they used in that strangulation shot?"" The skeleton of ""No Country for Old Men"" is a cheap, 78-minute, gun-monster-chase B movie. Javier Bardem plays Anton Chigurh, the monster. He is Frankenstein; he is Max Cady from ""Cape Fear;"" he is from your childhood nightmares. He may be death personified.One of many completely implausible scenes: an arresting officer, defying any logic, turns his back on Chigurh. Chigurh, displaying the supple sinuosity of a Cirque du Soleil contortionist, or an orangutan, slips out of his handcuffs. This is done out of camera view, because for Bardem it would be impossible; thus the scene's implausibility. Chigurh then, in real time, strangles the young police officer to death on camera. This is an extended sequence. This is the payoff for ""No Country for Old Men"": watching one human being kill other human beings, in scene after scene after scene, using various weapons, including a captive bolt pistol usually used on livestock. Guess Chigurh couldn't get hold of a Texas chainsaw. This is a slasher flick for the pretentious.Early on, there are well-done, if standard, chase scenes. A man outruns a car: not believable, but fun to watch. A pit bull chases this fleeing man down a whitewater river. The man reloads his gun at the very last moment (of course) and shoots the pit bull dead just as it is about to sink its teeth into the man. Later, in a hotel, a beeping transponder informs the killer where his prey hides. Your pulse may race and you may think that this is all leading up to something interesting. You will be disappointed.Tommy Lee Jones, whose ear lobes appear to be metastasizing as he ages, wanders aimlessly through the film as Sheriff Ed Tom Bell, delivering cornpone, homespun, cowboy poet ruminations that are more or less opaque in meaning. No doubt the film's fans are even now feverishly compiling a companion volume that decodes Bell's dreams and conveys their depth.Woody Harrelson, late the bartender of the TV sitcom ""Cheers,"" shows up for a completely pointless half-hour role that yanks the viewer right out of the movie. ""What is Woody Harrelson doing here?"" Some years back, some bored English majors decided that conventional narrative structure was not intellectual enuf, and decided to play games with narrative. ""No Country for Old Men"" plays these sorts of games. The viewer is invited to invest time getting to know characters who are eliminated from the plot in ways that convey no meaning and are not moving. The narrative flow is truncated and yet the movie keeps going; viewers ask themselves why the movie is continuing -- sometimes out loud, even in a movie theater -- this is supposed to be a deep, intellectual experience. It is not. It is merely annoying.Other than bratty English major head games, pretty much the entire substance of ""No Country for Old Men"" is a series of murders and tortures committed by Chigurh, who may symbolize your high school's worst bully  a bully so terrifying exactly because he targeted English majors. His victims are often courteous; their likability makes watching them be humiliated and then murdered an uncomfortable, and, given the film's structure, ultimately pointless exercise. Not only are the Coen Brothers torturing their characters, they also torment their ticket-buying audiences.Chigurh's nice victims are often poor, rural, Southern, whites, the kind of people often not featured as positive, lead characters in Hollywood entertainments. They are often villains  witness films like ""Deliverance."" Here they are murder victims. Chigurh is associated with Mexicans, part of a rising ""dismal tide,"" as one Anglo character puts it. No matter how you feel about immigration, you may find this association of Mexicans with a rising tide of evil to be offensive.The film's boosters insist that the movie offers three deep and shocking lessons: life doesn't always follow a neat narrative structure; evil often triumphs; and the old days were more peaceful and, nowadays, things are getting really bad. In truth, everyone walking in to the theater already knows the first two ""lessons."" No one needs the Coen brothers to inform him that life doesn't always follow a neat narrative structure, or that evil often triumphs. We expect filmmakers, and all artists, to offer us a more substantial thesis. As for the third ""lesson,"" that the old days were more peaceful and things are getting really bad today -- have the Coens, or Cormac McCarthy, heard of Attila the Hun, or any number of other less-than-peaceful and courteous personages from our common human past? One might well be dubious about ""No Country""'s ""lessons."" Visit internet discussion boards devoted to this movie, and you will find fans asking, not ""What is fate?"" or ""What is the role of a good man in a bad world?"" but questions like, ""If Hannibal Lector and Anton Chigurh were locked in a room, who would come out alive?"" Given such reflections, one is safe in concluding that the appeal of this film is its emphasis on graphic violence, rather than on any more advanced intellectual or artistic merit.",1
"No Country For Old Men (2007)' has a tangible grit to it; you can almost feel the very fabric of the film itself. It's a calm and methodical meditation on the changing nature of both crime itself and the world at large (with a focus on America, in particular). It maintains its slow pace even during its bluntly violent action sequences, which are often genuinely intense. The piece is surprisingly suspenseful, providing proper thrills alongside its pseudo philosophical pondering. It doesn't spoon-feed you anything; you have to work to understand its plot and, even, characters, which are both relatively elusive and purposefully amoral. The flick makes no judgements on its players, even though some are truly despicable, and it doesn't provide easy explanations or motivations for some of their actions. This makes for an engaging experience that encourages rather deep thinking. The movie isn't as straightforward as its pretty by-the-numbers set-up would suggest. It undercuts itself at, arguably, its most important moment, subverting expectation with an unconventional yet shockingly effective final third. It really is brilliant. The film feels substantial, a resonant commentary on the ever-evolving yet always cyclical nature of violence and the pure randomness of fate. It stays with you for quite a while after it's over, both providing in-the-moment excitement and provoking retroactive reflection. It's a confident and considered affair right from the start. It's wonderful. 9/10.",1
